firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Andrew,Whitworth,T,77,,2018,32013030-2d30-3032-3432-3730192e1f7d,00-0024270,WHI825900,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Aqib,Talib,CB,21,STARTED,2018,32013030-2d30-3032-3631-3630b6c34649,00-0026160,TAL428789,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
John,Sullivan,C,65,,2018,32013030-2d30-3032-3633-3237fbee6e7f,00-0026327,SUL513788,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Sam,Shields,CB,37,,2018,32013030-2d30-3032-3734-3430e4bc430c,00-0027440,SHI229142,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Rodger,Saffold,G,76,,2018,32013030-2d30-3032-3736-3438d784d863,00-0027648,SAF408541,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Ndamukong,Suh,DT,93,STARTED,2018,32013030-2d30-3032-3738-35358e660c4e,00-0027855,SUH046142,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Jake,McQuaide,LS,44,,2018,32013030-2d30-3032-3833-39348364cc5a,00-0028394,MCQ288110,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Johnny,Hekker,P,06,,2018,32013030-2d30-3032-3838-3732a4291a77,00-0028872,HEK403291,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Ryan,Davis,DE,98,,2018,32013030-2d30-3032-3930-353368c9549d,00-0029053,DAV727624,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Greg,Zuerlein,K,04,,2018,32013030-2d30-3032-3936-32318377b74b,00-0029621,ZUE563610,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Michael,Brockers,DL,90,STARTED,2018,32013030-2d30-3032-3936-3330641a3a07,00-0029630,BRO060116,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Mark,Barron,LB,26,,2018,32013030-2d30-3032-3936-37306f3ce17e,00-0029670,BAR661788,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Nickell,Robey,CB,23,,2018,32013030-2d30-3033-3030-34316c059a73,00-0030041,ROB361684,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Robert,Woods,WR,17,,2018,32013030-2d30-3033-3034-333120799932,00-0030431,WOO561144,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Cornelius,Lucas,T,73,STARTED,2018,32013030-2d30-3033-3037-3235295e76a7,00-0030725,LUC054659,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Ethan,Westbrooks,DL,95,STARTED,2018,32013030-2d30-3033-3039-3836d9184f96,00-0030986,WES590634,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Brandin,Cooks,WR,12,,2018,32013030-2d30-3033-3132-333658a3c4ba,00-0031236,COO299382,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Lamarcus,Joyner,S,20,STARTED,2018,32013030-2d30-3033-3133-3839f30c04d9,00-0031389,JOY464866,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Dominique,Easley,DT,91,,2018,32013030-2d30-3033-3134-32358b015e08,00-0031425,EAS071808,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Isaiah,Johnson,DB,27,,2018,32013030-2d30-3033-3136-353717142b0e,00-0031657,JOH321472,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Troy,Hill,CB,32,,2018,32013030-2d30-3033-3137-3835eadaed08,00-0031785,HIL626234,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Malcolm,Brown,RB,34,STARTED,2018,32013030-2d30-3033-3138-30361fd87e06,00-0031806,BRO550137,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Matt,Longacre,OLB,96,STARTED,2018,32013030-2d30-3033-3138-313498b6be00,00-0031814,LON664460,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Darrell,Williams,T,63,STARTED,2018,32013030-2d30-3033-3138-3231ec77bd4b,00-0031821,WIL207373,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Ramik,Wilson,LB,52,STARTED,2018,32013030-2d30-3033-3139-34337fd967c3,00-0031943,WIL774827,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Taurean,Nixon,CB,31,,2018,32013030-2d30-3033-3231-353731f71c5b,00-0032157,NIX736272,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Marcus,Peters,CB,22,STARTED,2018,32013030-2d30-3033-3231-363523a8cae9,00-0032165,PET154864,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Todd,Gurley,RB,30,,2018,32013030-2d30-3033-3232-3431f3b5ce2f,00-0032241,GUR000000,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Rob,Havenstein,T,79,,2018,32013030-2d30-3033-3232-3432bed7bb41,00-0032242,HAV249308,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Jamon,Brown,G,68,STARTED,2018,32013030-2d30-3033-3232-3434ae36430c,00-0032244,BRO485991,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Sean,Mannion,QB,14,STARTED,2018,32013030-2d30-3033-3232-3435dbcb2822,00-0032245,MAN548238,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
Bryce,Hager,LB,54,,2018,32013030-2d30-3033-3232-3438a18f004a,00-0032248,HAG352499,Los Angeles Rams,texans-at-rams-2018-pre-3,2018-08-25T20:00:00.000Z
