firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Rashard,Robinson,CB,30,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3234-3130cad664eb,00-0032410,ROB680485,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Lachlan,Edwards,P,04,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3234-3439f903e492,00-0032449,EDW571443,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Robby,Anderson,WR,11,STARTED,2018,32013030-2d30-3033-3236-3838f52d40a0,00-0032688,AND460305,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Charone,Peake,WR,17,STARTED,2018,32013030-2d30-3033-3239-3539d1fb9430,00-0032959,PEA150300,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Jordan,Jenkins,LB,48,STARTED,2018,32013030-2d30-3033-3239-373083adf6c9,00-0032970,JEN295944,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Bronson,Kaufusi,DE,91,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3331-313777cf4f5d,00-0033117,KAU453616,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Thomas,Hennessy,LS,42,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3332-3630c1b6e770,00-0033260,HEN540649,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Elijah,McGuire,RB,25,STARTED,2018,32013030-2d30-3033-3332-39353cda0684,00-0033295,MCG791501,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Derrick,Jones,CB,31,NOT_ACTIVE,2018,32013030-2d30-3033-3332-39393275eca3,00-0033299,JON233454,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Eric,Smith,T,65,NOT_ACTIVE,2018,32013030-2d30-3033-3334-3134b11f6abf,00-0033414,SMI000015,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Ben,Braden,OL,69,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3334-3930e5f878cd,00-0033490,BRA093113,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Jeremy,Clark,CB,34,NOT_ACTIVE,2018,32013030-2d30-3033-3335-3230976cca2d,00-0033520,CLA379037,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Davis,Webb,QB,05,NOT_ACTIVE,2018,32013030-2d30-3033-3335-35307f53ec19,00-0033550,WEB107865,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
De'Angelo,Henderson,RB,35,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3335-3831fc77e6b7,00-0033581,HEN054848,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Jamal,Adams,S,33,STARTED,2018,32013030-2d30-3033-3338-373248bdb287,00-0033872,ADA392115,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Tarell,Basham,LB,93,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3339-313753ce936f,00-0033917,BAS140463,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Jordan,Leggett,TE,86,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3339-353392403fd8,00-0033953,LEG424519,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Trenton,Cannon,RB,40,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3431-3634d719353d,00-0034164,CAN678301,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Parry,Nickerson,CB,43,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3432-37341e681274,00-0034274,NIC668282,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Folorunso,Fatukasi,DL,94,NOT_ACTIVE,2018,32013030-2d30-3033-3432-37356c26b154,00-0034275,FAT652601,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Frankie,Luvu,LB,50,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3433-30322333f64d,00-0034302,LUV652601,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Anthony,Wint,LB,52,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3433-303334a88bbb,00-0034303,WIN679405,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Deontay,Burnett,WR,18,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-353328746abb,00-0034653,BUR406293,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Nathan,Shepherd,DL,97,STARTED,2018,32013030-2d30-3033-3437-363041730285,00-0034760,SHE517895,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Christopher,Herndon,TE,89,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3437-3636b50d54ca,00-0034766,HER373492,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Sam,Darnold,QB,14,STARTED,2018,32013030-2d30-3033-3438-36394b743d00,00-0034869,DAR466141,New York Jets,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Aaron,Rodgers,QB,12,STARTED,2018,32013030-2d30-3032-3334-35395dc60da5,00-0023459,ROD339293,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Tramon,Williams,CB/S,38,STARTED,2018,32013030-2d30-3032-3430-3631de8ced85,00-0024061,WIL545231,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Marcedes,Lewis,TE,89,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3432-34333951f04d,00-0024243,LEW492053,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Mason,Crosby,K,02,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3535-3830b71d2a71,00-0025580,CRO369933,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Clay,Matthews,LB,52,STARTED,2018,32013030-2d30-3032-3730-30322df5b50f,00-0027002,MAT538690,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Jimmy,Graham,TE,80,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3736-39363e3fa7c9,00-0027696,GRA207087,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Bryan,Bulaga,T,75,STARTED,2018,32013030-2d30-3032-3738-3735579bc4cb,00-0027875,BUL062007,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Lance,Kendricks,TE,84,STARTED,2018,32013030-2d30-3032-3739-3835275a91dc,00-0027985,KEN102780,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Randall,Cobb,WR,18,NOT_ACTIVE,2018,32013030-2d30-3032-3830-303218eca9b5,00-0028002,COB365535,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Eddie,Pleasant,S,35,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3935-323081ef80b3,00-0029520,PLE221488,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
David,Bakhtiari,T,69,STARTED,2018,32013030-2d30-3033-3030-3734bc69065d,00-0030074,BAK787653,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Lane,Taylor,G,65,STARTED,2018,32013030-2d30-3033-3032-3733d25bc395,00-0030273,TAY501908,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Justin,McCray,G,64,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3037-3932ce02b2d4,00-0030792,MCC669589,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Corey,Linsley,C,63,STARTED,2018,32013030-2d30-3033-3130-3139d8e2428b,00-0031019,LIN775645,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Bashaud,Breeland,CB,26,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3130-353214e9421d,00-0031052,BRE183598,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Kapri,Bibbs,RB,22,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3131-3032b4b8318d,00-0031102,BIB097874,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Davante,Adams,WR,17,STARTED,2018,32013030-2d30-3033-3133-383188f79eec,00-0031381,ADA218591,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Jake,Kumerow,WR,16,STARTED,2018,32013030-2d30-3033-3137-3837990186b1,00-0031787,KUM425791,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Antonio,Morrison,LB,44,STARTED,2018,32013030-2d30-3033-3234-30363dc9c374,00-0032406,MOR564646,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Blake,Martinez,LB,50,STARTED,2018,32013030-2d30-3033-3234-303834087ca1,00-0032408,MAR776230,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Dean,Lowry,DL,94,STARTED,2018,32013030-2d30-3033-3234-3132b094848f,00-0032412,LOW617631,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Kentrell,Brice,S,29,STARTED,2018,32013030-2d30-3033-3236-32383c93a9d5,00-0032628,BRI069797,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Reggie,Gilbert,LB,93,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3236-333367a3d5d9,00-0032633,GIL124484,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Jason,Spriggs,T,78,NOT_ACTIVE,2018,32013030-2d30-3033-3237-3636c53103dd,00-0032766,SPR150252,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Dan,Vitale,FB,45,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3237-3934a8a0ea1c,00-0032794,VIT349599,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Kyler,Fackrell,LB,51,STARTED,2018,32013030-2d30-3033-3239-3535ca9e0256,00-0032955,FAC355963,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Lucas,Patrick,G,62,STARTED,2018,32013030-2d30-3033-3330-3832a408d767,00-0033082,PAT269889,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Kenny,Clark,DL,97,NOT_ACTIVE,2018,32013030-2d30-3033-3331-3230f91cadb7,00-0033120,CLA409251,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Nico,Siragusa,G,56,NOT_ACTIVE,2018,32013030-2d30-3033-3332-3837dbf33ba2,00-0033287,SIR286611,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Adam,Pankey,G/T,77,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3333-353993c89318,00-0033359,PAN653214,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Fadol,Brown,DL,98,STARTED,2018,32013030-2d30-3033-3334-3338593fa7a3,00-0033438,BRO431003,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Robert,Tonyan,TE,85,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3337-353731d69d3c,00-0033757,TON816385,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
DeShone,Kizer,QB,09,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3338-3939df045cc1,00-0033899,KIZ080286,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Josh,Jones,S,27,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3339-3033b857c75a,00-0033903,JON506328,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Montravius,Adams,DL,90,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3339-323977b44841,00-0033929,ADA519824,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Jamaal,Williams,RB,30,STARTED,2018,32013030-2d30-3033-3339-3438708d63ec,00-0033948,WIL328269,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
J.K.,Scott,P,06,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3431-3632e18627d4,00-0034162,SCO395209,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Hunter,Bradley,LS,43,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3431-3638ecaf5b8f,00-0034168,BRA208288,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Tim,Boyle,QB,08,NOT_ACTIVE,2018,32013030-2d30-3033-3431-37377f312969,00-0034177,BOY696580,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Tyler,Lancaster,DL,95,STARTED,2018,32013030-2d30-3033-3431-3835ae1e2246,00-0034185,LAN015019,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
J'Mon,Moore,WR,82,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3432-36383ea3342c,00-0034268,MOO430639,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Marquez,Valdes-Scantling,WR,83,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3432-3732360353be,00-0034272,VAL142116,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Equanimeous,St. Brown,WR,19,STARTED,2018,32013030-2d30-3033-3432-37393a26c8f2,00-0034279,STB563610,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
James,Looney,DL,99,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3432-3834387b77f8,00-0034284,LOO481366,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Kendall,Donnerson,LB,91,NOT_ACTIVE,2018,32013030-2d30-3033-3432-3837d2c709d7,00-0034287,DON620788,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Natrell,Jamerson,CB,21,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3433-3938f6e0be0a,00-0034398,JAM042973,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Allen,Lazard,WR,13,NOT_ACTIVE,2018,32013030-2d30-3033-3435-323139d34fef,00-0034521,LAZ043714,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Tony,Brown,CB,28,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3435-343057cd0495,00-0034540,BRO738696,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Lavon,Coleman,RB,24,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-3234842af0dd,00-0034624,COL297109,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Jaire,Alexander,CB,23,STARTED,2018,32013030-2d30-3033-3437-3238cfd86870,00-0034728,ALE291426,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Josh,Jackson,CB,37,STARTED,2018,32013030-2d30-3033-3437-35317e43e142,00-0034751,JAC280902,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
Oren,Burks,LB,42,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3437-353454a24337,00-0034754,BUR284869,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
James,Crawford,LB,54,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3438-38318be42984,00-0034881,CRA664389,Green Bay Packers,packers-at-jets-2018-reg-16,2018-12-23T18:00:00.000Z
