firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Matt,Cassel,QB,08,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3336-3632a25ecc29,00-0023662,CAS541133,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Matt,Prater,K,05,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3338-35338ddfcccf,00-0023853,PRA143616,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Matthew,Stafford,QB,09,STARTED,2018,32013030-2d30-3032-3634-39382e08c011,00-0026498,STA134157,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Ricky,Jean Francois,DT,97,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3635-3032de55f6f5,00-0026502,JEA418291,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
T.J.,Lang,G,76,STARTED,2018,32013030-2d30-3032-3730-373894546ea1,00-0027078,LAN483492,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Glover,Quin,S,27,STARTED,2018,32013030-2d30-3032-3730-38316dcb542a,00-0027081,QUI360604,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
LeGarrette,Blount,RB,29,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3733-3235a70c88f0,00-0027325,BLO626278,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Golden,Tate,WR,15,STARTED,2018,32013030-2d30-3032-3738-39319adae9d4,00-0027891,TAT245022,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Kenny,Wiggins,G,79,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3832-34301710f2b0,00-0028240,WIG184866,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Nick,Bellore,FB,43,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3832-3932f71fca79,00-0028292,BEL740458,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
DeShawn,Shead,DB,26,NOT_ACTIVE,2018,32013030-2d30-3032-3931-393142b246c0,00-0029191,SHE023560,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Marvin,Jones,WR,11,STARTED,2018,32013030-2d30-3032-3932-3933c267e06d,00-0029293,JON601697,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Tavon,Wilson,S,32,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3934-3130acb3f0c4,00-0029410,WIL791595,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Rick,Wagner,T,71,STARTED,2018,32013030-2d30-3032-3938-39336df31166,00-0029893,WAG554943,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Ezekiel,Ansah,DE,94,NOT_ACTIVE,2018,32013030-2d30-3033-3030-35392f2b1fac,00-0030059,ANS059326,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Darius,Slay,CB,23,STARTED,2018,32013030-2d30-3033-3030-3632e7c01ee5,00-0030062,SLA746089,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Luke,Willson,TE,82,STARTED,2018,32013030-2d30-3033-3030-3839d2c7a50e,00-0030089,WIL747168,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Sam,Martin,P,06,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3030-39326221cfca,00-0030092,MAR720548,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Theo,Riddick,RB,25,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3031-3037dd0b3def,00-0030107,RID187949,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Levine,Toilolo,TE,87,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3034-343341c8f746,00-0030443,TOI581408,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Sylvester,Williams,DT,92,STARTED,2018,32013030-2d30-3033-3035-37379775f512,00-0030577,WIL531095,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Kerry,Hyder,DE,61,NOT_ACTIVE,2018,32013030-2d30-3033-3039-34369644254c,00-0030946,HYD440791,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Christian,Jones,LB,52,STARTED,2018,32013030-2d30-3033-3131-3330a5a0e0a7,00-0031130,JON162414,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Nevin,Lawson,CB,24,STARTED,2018,32013030-2d30-3033-3131-37366edb26c7,00-0031176,LAW715017,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
T.J.,Jones,WR,13,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3131-3839f418b93f,00-0031189,JON731255,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Devon,Kennard,LB,42,STARTED,2018,32013030-2d30-3033-3132-34317c970654,00-0031241,KEN208338,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Marquis,Flowers,LB,59,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3132-393060ef21df,00-0031290,FLO457902,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Quandre,Diggs,DB,28,STARTED,2018,32013030-2d30-3033-3136-303883b897cd,00-0031608,DIG202845,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Eli,Harold,LB,57,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3230-3630cf6b8895,00-0032060,HAR236127,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Ameer,Abdullah,RB,21,NOT_ACTIVE,2018,32013030-2d30-3033-3231-3034b84feb82,00-0032104,ABD647726,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Taylor,Decker,T,68,STARTED,2018,32013030-2d30-3033-3233-3831c313a2e6,00-0032381,DEC496460,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Graham,Glasgow,C/G,60,STARTED,2018,32013030-2d30-3033-3233-393532d3da31,00-0032395,GLA349413,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Miles,Killebrew,S,35,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3233-393959aeb3b5,00-0032399,KIL283492,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Joe,Dahl,G,66,NOT_ACTIVE,2018,32013030-2d30-3033-3234-3138a11e8266,00-0032418,DAH260173,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Hakeem,Valles,TE,84,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3235-3038b25e1763,00-0032508,VAL644701,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Charles,Washington,S,45,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3235-3630aa61e789,00-0032560,WAS082938,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Romeo,Okwara,DE,95,STARTED,2018,32013030-2d30-3033-3236-3535b657c268,00-0032655,OKW059326,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Eric,Lee,OLB,55,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3237-33301d6204ae,00-0032730,LEE205712,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
A'Shawn,Robinson,DT,91,STARTED,2018,32013030-2d30-3033-3238-3839cdd48ecc,00-0032889,ROB367960,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Jarrad,Davis,LB,40,STARTED,2018,32013030-2d30-3033-3335-3339724008ae,00-0033539,DAV429215,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Teez,Tabor,CB,31,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3335-3435c525c4e2,00-0033545,TAB271322,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Jalen,Reeves-Maybin,LB,44,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3335-353740a6ed13,00-0033557,REE820452,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Michael,Roberts,TE,80,NOT_ACTIVE,2018,32013030-2d30-3033-3335-35392e607189,00-0033559,ROB228521,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Jamal,Agnew,CB,39,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3335-37321444a206,00-0033572,AGN406291,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Dee,Virgin,CB,30,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3337-3739eefaa862,00-0033779,VIR289610,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Kenny,Golladay,WR,19,STARTED,2018,32013030-2d30-3033-3339-3332f1c6916a,00-0033932,GOL573546,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Frank,Ragnow,OL,77,STARTED,2018,32013030-2d30-3033-3433-34352f3e012f,00-0034345,RAG316161,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Kerryon,Johnson,RB,33,STARTED,2018,32013030-2d30-3033-3433-3439ee3def91,00-0034349,JOH399188,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Da'Shawn,Hand,DL,93,STARTED,2018,32013030-2d30-3033-3433-37318e34021e,00-0034371,HAN083056,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Tyrell,Crosby,OL,65,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3433-39302f5e2025,00-0034390,CRO388113,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Brandon,Powell,WR,10,NOT_ACTIVE,2018,32013030-2d30-3033-3436-3436c702d044,00-0034646,POW179215,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
Tracy,Walker,DB,47,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3437-34351c691655,00-0034745,WAL335711,Detroit Lions,lions-at-cowboys-2018-reg-4,2018-09-30T17:00:00.000Z
