firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Julio,Jones,WR,11,STARTED,2018,32013030-2d30-3032-3739-3434d4d3846d,00-0027944,JON640315,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Bruce,Carter,LB,55,NOT_ACTIVE,2018,32013030-2d30-3032-3739-37387a0caed5,00-0027978,CAR624497,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Brooks,Reed,DE,50,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3739-3830828270d1,00-0027980,REE154467,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Terrell,McClain,DT,99,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3830-30337040cfc8,00-0028003,MCC342970,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Matt,Bosher,P,05,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3831-33304fbac780,00-0028130,BOS219856,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Giorgio,Tavecchio,K,04,NOT_ACTIVE,2018,32013030-2d30-3032-3839-303781ed6e39,00-0028907,TAV164481,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Bruce,Irvin,DE,52,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3931-3933fbe0b03b,00-0029193,IRV115072,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Justin,Bethel,CB,28,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3935-3330cfc50f82,00-0029530,BET201235,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Jack,Crawford,DL,95,STARTED,2018,32013030-2d30-3032-3936-32377ccf96c2,00-0029627,CRA660264,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Mohamed,Sanu,WR,12,STARTED,2018,32013030-2d30-3032-3936-3332c617d70d,00-0029632,SAN808447,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Ryan,Schraeder,T,73,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3937-3836fce6aeaa,00-0029786,SCH492299,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Steven,Means,DE,56,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3033-3837d54107ee,00-0030387,MEA790667,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Kemal,Ishmael,S,36,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3034-323746dcf215,00-0030427,ISH415291,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Robert,Alford,CB,23,STARTED,2018,32013030-2d30-3033-3035-323867243165,00-0030528,ALF657259,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Blidi,Wreh-Wilson,CB,33,NOT_ACTIVE,2018,32013030-2d30-3033-3035-3431fc55618a,00-0030541,WRE233874,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Desmond,Trufant,CB,21,STARTED,2018,32013030-2d30-3033-3035-36324cbce92e,00-0030562,TRU381665,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Jake,Matthews,T,70,STARTED,2018,32013030-2d30-3033-3132-373957a85229,00-0031279,MAT565555,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Jordan,Richards,S,29,STARTED,2018,32013030-2d30-3033-3135-3539dcdf4637,00-0031559,RIC293560,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Justin,Hardy,WR,14,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3135-37307ad4347b,00-0031570,HAR111877,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Grady,Jarrett,DT,97,STARTED,2018,32013030-2d30-3033-3135-383331fceed0,00-0031583,JAR254349,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Tevin,Coleman,RB,26,STARTED,2018,32013030-2d30-3033-3230-35386984de69,00-0032058,COL359050,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Ty,Sambrailo,T,74,STARTED,2018,32013030-2d30-3033-3231-34371f5c0904,00-0032147,SAM009394,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Vic,Beasley,OLB,44,STARTED,2018,32013030-2d30-3033-3232-3430b2977a30,00-0032240,BEA528276,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Deion,Jones,LB,45,STARTED,2018,32013030-2d30-3033-3233-38383827bbae,00-0032388,JON233279,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Austin,Hooper,TE,81,STARTED,2018,32013030-2d30-3033-3233-39328d4eeab0,00-0032392,HOO570770,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
De'Vondre,Campbell,LB,59,STARTED,2018,32013030-2d30-3033-3234-303177be18db,00-0032401,CAM227922,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Wes,Schweitzer,G,71,STARTED,2018,32013030-2d30-3033-3234-3332dbce1fe4,00-0032432,SCH821050,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Justin,Zimmer,DT,92,NOT_ACTIVE,2018,32013030-2d30-3033-3235-3138910040f5,00-0032518,ZIM077099,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Sharrod,Neasman,S,41,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3235-393212efe2ff,00-0032592,NEA752713,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Brian,Poole,CB,34,STARTED,2018,32013030-2d30-3033-3235-3936a2c461e8,00-0032596,POO231564,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Marvin,Hall,WR,17,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3330-3934949866ca,00-0033094,HAL441748,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Ricky,Ortiz,FB,30,NOT_ACTIVE,2018,32013030-2d30-3033-3333-3734e8583001,00-0033374,ORT448270,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Damontae,Kazee,S,27,STARTED,2018,32013030-2d30-3033-3335-3132dc1f4905,00-0033512,KAZ186981,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Takkarist,McKinley,DE,98,STARTED,2018,32013030-2d30-3033-3335-34309ce593b8,00-0033540,MCK405174,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Duke,Riley,LB,42,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3335-34391040c4ac,00-0033549,RIL146648,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Brian,Hill,RB,32,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3335-36379c914315,00-0033567,HIL101853,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Eric,Saubert,TE,85,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3335-373680f0140e,00-0033576,SAU025752,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Matt,Gono,T,77,NOT_ACTIVE,2018,32013030-2d30-3033-3431-3430b98d2450,00-0034140,GON205666,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Isaiah,Oliver,CB,20,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3433-35374bbde41e,00-0034357,OLI431868,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Deadrin,Senat,DT,94,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3433-36337f14384d,00-0034363,SEN026161,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Ito,Smith,RB,25,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3433-3738c51df4c8,00-0034378,SMI342780,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Russell,Gage,WR,83,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3434-31315ee55543,00-0034411,GAG130654,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Foyesade,Oluokun,LB,54,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3434-3133aa5cb448,00-0034413,OLU474619,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Ryan,Neal,DB,40,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3435-3237b9a42a29,00-0034527,NEA427290,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
Calvin,Ridley,WR,18,STARTED,2018,32013030-2d30-3033-3438-333761eb5105,00-0034837,RID652384,Atlanta Falcons,falcons-at-packers-2018-reg-14,2018-12-09T18:00:00.000Z
