firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Kyle,Juszczyk,FB,44,STARTED,2020,32013030-2d30-3032-3938-39323eca43ee,00-0029892,JUS812736,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Ezekiel,Ansah,DE,94,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3030-35392f2b1fac,00-0030059,ANS059326,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Jordan,Reed,TE,81,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3034-3732a77a3295,00-0030472,REE302847,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Dion,Jordan,DE,96,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3035-353556d2f3d3,00-0030555,JOR165083,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Kerry,Hyder,DL,92,STARTED,2020,32013030-2d30-3033-3039-34369644254c,00-0030946,HYD440791,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Dontae,Johnson,CB,27,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3130-3631cb85b6bf,00-0031061,JOH211430,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
K'Waun,Williams,CB,24,STARTED,2020,32013030-2d30-3033-3132-35332f3ee678,00-0031253,WIL415204,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Dee,Ford,DL,55,NOT_ACTIVE,2020,32013030-2d30-3033-3132-39378acd6b00,00-0031297,FOR113166,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Jimmie,Ward,DB,20,STARTED,2020,32013030-2d30-3033-3132-39384eb6d8e1,00-0031298,WAR218386,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Jason,Verrett,CB,22,STARTED,2020,32013030-2d30-3033-3133-3334a8fa0feb,00-0031334,VER625072,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Jimmy,Garoppolo,QB,10,NOT_ACTIVE,2020,32013030-2d30-3033-3133-34353afe165e,00-0031345,GAR363225,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Jerick,McKinnon,RB,28,STARTED,2020,32013030-2d30-3033-3133-3736bbc77460,00-0031376,MCK656764,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Hroniss,Grasu,C,50,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3135-3631e0d93a16,00-0031561,GRA533780,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Raheem,Mostert,RB,31,NOT_ACTIVE,2020,32013030-2d30-3033-3136-3837aa36ac48,00-0031687,MOS822492,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Mark,Nzeocha,LB,53,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3139-3631c46341c7,00-0031961,NZE474619,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Jaquiski,Tartt,S,29,STARTED,2020,32013030-2d30-3033-3230-35376f7da0f6,00-0032057,TAR686527,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Kwon,Alexander,LB,56,STARTED,2020,32013030-2d30-3033-3231-3039fd009952,00-0032109,ALE492854,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Arik,Armstead,DL,91,STARTED,2020,32013030-2d30-3033-3231-36346b09a5a9,00-0032164,ARM057964,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Laken,Tomlinson,OL,75,STARTED,2020,32013030-2d30-3033-3232-333462d79888,00-0032234,TOM687650,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Joe,Walker,LB,59,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3238-3039186b08d6,00-0032809,WAL224854,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Daniel,Brunskill,OL,60,STARTED,2020,32013030-2d30-3033-3332-323161b30597,00-0033221,BRU741545,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
George,Kittle,TE,85,NOT_ACTIVE,2020,32013030-2d30-3033-3332-383818d98dc1,00-0033288,KIT388290,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
Trent,Taylor,WR,15,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3332-3932bea43c3e,00-0033292,TAY758512,San Francisco 49ers,49ers-at-giants-2020-reg-3,2020-09-27T17:00:00.000Z
